Gene,A11.C636,A11,E9,HAP1.C597,KBM7
VPRBP,1.02,1.00,1.03,1.05,0.89
VPREB1,0.00,0.00,0.00,0.00,0.02
VPREB3,0.21,0.23,0.20,0.28,0.14
VPS11,2.70,3.13,2.76,2.70,4.33
VPS13A,0.30,0.22,0.19,0.29,0.38
VPS13B,0.03,0.03,0.03,0.03,0.09
VPS13C,0.27,0.23,0.17,0.52,1.01
VPS13D,0.20,0.17,0.14,0.22,0.16
VPS16,7.38,8.14,7.66,7.04,7.05
VPS18,7.01,6.64,6.01,6.67,2.56
VPS25,15.11,14.43,13.49,14.73,8.48
VPS26A,2.72,1.76,1.35,2.50,1.95
VPS26B,3.69,3.21,2.85,3.48,2.77
VPS28,7.14,8.38,8.10,7.37,21.58
VPS29,11.84,9.29,7.46,11.19,6.57
VPS33A,2.13,1.84,1.72,1.96,1.15
VPS33B,0.86,0.83,0.84,0.81,1.18
VPS35,6.69,4.83,3.61,6.62,5.05
VPS36,1.26,1.38,1.09,1.21,2.17
VPS37A,0.72,0.51,0.55,0.71,0.98
VPS37B,1.86,1.94,1.97,2.20,1.23
VPS37C,0.69,0.84,0.83,0.75,0.54
VPS37D,0.87,0.89,0.78,0.80,0.28
VPS39,1.41,1.41,1.34,1.30,1.60
VPS41,0.16,0.14,0.12,0.16,0.12
VPS45,0.86,0.70,0.71,0.80,0.43
VPS4A,11.68,11.90,11.58,11.18,9.57
VPS4B,1.83,1.55,1.27,1.76,1.50
VPS51,2.44,2.58,2.58,2.66,4.09
VPS52,2.90,3.58,4.22,3.01,2.50
VPS53,0.17,0.15,0.14,0.18,0.12
VPS54,0.41,0.31,0.24,0.39,0.32
VPS72,3.71,4.47,4.66,4.08,3.82
VPS8,0.22,0.17,0.13,0.20,0.23
VPS9D1,3.49,4.76,6.37,3.28,0.97
VRK1,1.08,0.88,0.85,1.11,0.99
VRK2,0.58,0.51,0.39,0.50,0.61
VRK3,0.65,0.75,0.72,0.59,0.77
VRTN,0.00,0.00,0.00,0.00,0.00
VSIG1,0.00,0.00,0.00,0.00,0.00
VSIG10,1.88,1.77,1.83,2.08,0.57
VSIG10L,0.51,0.43,0.58,0.43,0.16
VSIG2,1.06,1.10,1.25,0.97,0.28
VSIG4,0.00,0.00,0.00,0.00,0.08
VSIG8,0.00,0.01,0.01,0.01,0.01
VSNL1,0.12,0.07,0.00,0.11,0.00
VSTM1,0.00,0.00,0.00,0.00,0.00
VSTM2A,0.00,0.00,0.00,0.00,0.00
VSTM2B,0.00,0.00,0.02,0.01,0.00
VSTM2L,0.01,0.01,0.01,0.01,0.00
VSTM4,0.13,0.01,0.03,0.01,0.02
VSTM5,0.00,0.00,0.00,0.00,0.00
VSX2,0.01,0.00,0.01,0.00,0.00
VTA1,1.02,0.76,0.65,0.84,0.48
VTCN1,0.00,0.00,0.00,0.00,0.00
VTI1A,0.25,0.14,0.13,0.23,0.35
VTI1B,2.87,2.62,2.39,2.89,2.05
VTN,0.00,0.00,0.01,0.01,0.01
VWA1,10.43,11.98,9.74,13.78,1.32
VWA2,0.04,0.03,0.03,0.04,0.02
VWA3A,0.00,0.00,0.00,0.00,0.00
VWA3B,0.00,0.00,0.00,0.00,0.00
VWA5A,0.25,0.18,0.12,0.12,0.05
VWA5B1,0.00,0.00,0.00,0.00,0.00
VWA5B2,0.31,0.41,0.68,0.38,0.06
VWA7,0.18,0.28,0.33,0.19,0.06
VWA8,0.06,0.05,0.05,0.06,0.08
VWA9,2.19,1.75,1.70,4.39,3.97
VWC2,0.00,0.00,0.00,0.00,0.00
VWC2L,0.00,0.00,0.00,0.00,0.00
VWCE,0.27,0.30,0.51,0.19,0.10
VWDE,0.11,0.11,0.13,0.11,0.19
VWF,0.00,0.00,0.00,0.00,0.00
WAC,1.91,1.90,1.85,1.97,2.00
WAPAL,1.32,1.03,0.96,1.29,1.22
WARS,6.40,4.59,4.57,5.55,5.85
WARS2,0.25,0.20,0.18,0.25,0.21
WAS,0.18,0.19,0.31,0.21,18.94
WASF1,1.78,1.71,1.04,1.67,0.78
WASF2,1.70,1.80,1.70,1.72,2.00
WASF3,0.50,0.43,0.38,0.48,0.47
WASH4P,4.88,6.17,5.92,4.36,5.19
WASL,1.76,1.45,1.18,1.90,0.17
WBP1,8.03,8.80,9.84,8.08,9.74
WBP11,11.50,11.78,12.12,11.32,9.54
WBP1L,0.70,0.64,0.64,0.64,1.04
WBP2,6.76,7.54,6.74,7.16,7.31
WBP2NL,0.13,0.06,0.06,0.09,0.11
WBP4,0.91,0.92,0.70,0.75,0.97
WBP5,0.63,0.71,0.38,2.02,0.02
WBSCR16,1.45,1.41,1.27,1.49,0.91
WBSCR17,0.00,0.00,0.00,0.00,0.00
WBSCR22,7.66,8.10,9.06,7.92,3.79
WBSCR27,0.03,0.04,0.07,0.02,0.01
WBSCR28,0.00,0.00,0.00,0.00,0.00
