Gene,A11.C636,A11,E9,HAP1.C597,KBM7
LCN2,0.00,0.00,0.00,0.01,0.00
LCN6,0.00,0.00,0.00,0.00,0.00
LCN8,0.00,0.00,0.01,0.00,0.00
LCOR,0.13,0.10,0.09,0.13,0.05
LCORL,0.37,0.29,0.26,0.33,0.30
LCP1,0.03,0.01,0.01,0.04,11.95
LCP2,0.00,0.00,0.00,0.00,2.88
LCT,0.00,0.00,0.01,0.00,0.01
LCTL,1.94,1.31,1.26,3.72,1.72
LDB1,10.02,12.64,12.93,10.69,14.53
LDB2,0.18,0.18,0.12,0.19,0.00
LDB3,0.02,0.02,0.02,0.02,0.00
LDHA,82.74,67.80,67.63,87.48,33.35
LDHAL6A,0.07,0.09,0.08,0.08,0.03
LDHAL6B,0.01,0.01,0.00,0.00,0.00
LDHB,63.92,43.48,43.07,65.09,44.20
LDHC,0.00,0.00,0.00,0.00,0.00
LDHD,0.09,0.14,0.10,0.08,0.12
LDLR,1.22,1.25,0.99,1.32,0.85
LDLRAD1,0.00,0.00,0.00,0.00,0.00
LDLRAD2,0.28,0.32,0.59,0.30,0.41
LDLRAD3,0.07,0.07,0.08,0.07,0.04
LDLRAD4,0.00,0.00,0.00,0.00,0.01
LDLRAP1,1.46,1.51,1.52,1.25,1.56
LDOC1,18.93,24.60,33.18,15.48,6.96
LDOC1L,7.47,7.41,7.00,7.16,2.23
LEAP2,0.90,1.01,1.02,0.83,0.99
LECT1,0.00,0.00,0.01,0.00,0.00
LECT2,0.00,0.00,0.00,0.00,0.00
LEF1,0.17,0.12,0.08,0.12,0.00
LEFTY1,0.00,0.01,0.04,0.01,0.02
LEFTY2,0.00,0.00,0.04,0.00,0.00
LEKR1,0.06,0.03,0.03,0.06,0.03
LEMD1,0.00,0.00,0.00,0.00,0.00
LEMD2,3.42,3.73,3.65,2.94,2.23
LEMD3,0.48,0.40,0.40,0.47,0.78
LENEP,0.18,0.01,0.06,0.11,0.02
LENG1,2.03,2.47,2.84,2.05,1.51
LENG8,12.20,22.34,25.09,11.69,31.10
LENG9,2.40,2.54,3.03,2.40,6.15
LEO1,1.73,1.55,1.58,1.80,1.77
LEP,0.00,0.00,0.00,0.00,0.00
LEPR,0.27,0.24,0.15,0.26,0.19
LEPRE1,2.59,2.36,2.75,2.41,2.65
LEPREL1,0.00,0.00,0.00,0.01,0.00
LEPREL2,4.85,5.66,5.89,4.88,2.75
LEPREL4,4.06,5.08,5.83,4.19,2.95
LEPROT,2.58,2.27,1.99,2.31,2.71
LEPROTL1,5.36,4.07,3.94,5.49,8.05
LETM1,3.05,2.93,2.93,2.97,1.22
LETM2,0.37,0.36,0.31,0.36,0.45
LETMD1,5.35,5.01,4.84,4.96,10.71
LFNG,0.34,0.41,0.75,0.44,0.32
LGALS1,5.22,3.58,2.40,6.55,19.25
LGALS12,0.00,0.00,0.02,0.01,0.01
LGALS2,0.02,0.03,0.02,0.01,0.00
LGALS3,0.89,0.83,0.67,0.89,1.21
LGALS3BP,27.79,29.71,24.85,25.49,0.43
LGALS4,0.01,0.01,0.04,0.01,0.06
LGALS7B,0.00,0.00,0.00,0.01,0.00
LGALS8,1.05,1.12,0.48,1.00,1.36
LGALS9,0.11,0.17,0.14,0.10,3.95
LGALS9B,0.00,0.00,0.00,0.00,0.02
LGALS9C,0.00,0.00,0.00,0.00,0.14
LGALSL,13.42,12.01,14.89,13.85,0.60
LGI1,0.00,0.00,0.00,0.00,0.00
LGI2,0.82,0.63,0.39,0.74,0.00
LGI3,0.08,0.05,0.07,0.05,0.05
LGI4,0.04,0.04,0.05,0.04,0.01
LGMN,0.00,0.00,0.00,0.00,0.00
LGR4,1.30,1.17,1.28,1.32,0.30
LGR5,0.00,0.00,0.00,0.00,0.00
LGR6,0.00,0.00,0.00,0.00,0.00
LGSN,0.11,0.14,0.29,0.02,0.00
LHFP,0.06,0.06,0.12,0.05,0.05
LHFPL1,0.00,0.00,0.00,0.00,0.00
LHFPL2,0.21,0.14,0.15,0.19,0.13
LHFPL3,0.19,0.17,0.14,0.18,0.35
LHFPL4,0.00,0.00,0.00,0.00,0.00
LHFPL5,0.00,0.00,0.00,0.00,0.00
LHPP,0.02,0.02,0.02,0.01,0.03
LHX1,1.71,1.74,4.15,1.37,0.08
LHX2,1.83,1.64,0.77,1.41,0.00
LHX3,0.00,0.00,0.00,0.00,0.00
LHX4,0.60,0.64,0.59,0.54,0.41
LHX5,0.01,0.00,0.00,0.00,0.00
LHX6,0.10,0.10,0.11,0.09,0.31
LHX9,0.60,0.46,1.18,0.55,0.15
LIAS,1.58,1.23,1.27,1.47,1.02
LIF,0.25,0.95,1.61,0.29,3.52
LIFR,0.51,0.44,0.25,0.39,0.01
LIG1,1.82,2.29,2.48,1.61,2.35
LIG3,2.98,3.15,3.69,2.81,2.01
LIG4,4.18,2.95,2.68,3.46,2.30
LILRA1,0.00,0.00,0.00,0.00,0.01
LILRA2,0.00,0.00,0.00,0.00,0.06
LILRA3,0.00,0.00,0.00,0.00,0.00
LILRA4,0.00,0.00,0.00,0.00,0.17
LILRA6,0.02,0.02,0.02,0.03,0.02
LILRB1,0.00,0.00,0.00,0.00,0.01
LILRB2,0.00,0.00,0.00,0.00,0.02
LILRB3,0.00,0.00,0.00,0.00,0.00
LIM2,0.00,0.00,0.00,0.00,0.00
LIMA1,0.60,0.40,0.44,0.57,0.11
LIMCH1,0.08,0.08,0.19,0.09,0.00
LIMD1,0.94,0.88,0.73,0.89,0.60
LIMD2,7.23,7.90,8.62,6.62,12.56
LIME1,2.54,5.51,7.10,2.77,1.91
LIMK1,1.31,1.59,1.77,1.29,0.74
LIMK2,0.69,0.72,0.60,0.64,0.56
LIMS1,0.20,0.18,0.16,0.18,0.18
LIMS2,0.03,0.04,0.03,0.05,0.01
LIMS3,0.09,0.06,0.05,0.05,0.08
LIMS3L,0.01,0.00,0.01,0.01,0.01
LIN28A,0.00,0.00,2.18,0.00,0.00
LIN28B,0.55,0.49,0.61,0.55,0.36
LIN37,1.53,1.62,1.75,1.23,1.30
LIN52,0.27,0.23,0.20,0.27,0.15
LIN54,0.42,0.37,0.37,0.45,0.42
LIN7A,0.23,0.20,0.24,0.20,0.01
LIN7B,1.24,1.63,1.75,1.04,0.91
LIN7C,2.17,1.63,1.32,1.96,0.97
LIN9,0.41,0.30,0.30,0.37,0.36
LINC00346,0.00,0.02,0.02,0.03,0.00
LINC00632,0.00,0.00,1.71,0.11,0.00
LINC00692,0.00,0.00,0.00,0.00,0.00
LINC00908,0.00,0.00,0.00,0.00,0.00
LINC00923,0.00,0.00,0.00,0.00,0.00
LINC00935,0.00,0.00,0.00,0.00,0.00
LINC00955,0.00,0.00,0.00,0.00,0.00
LINC00998,17.06,9.23,7.21,14.91,21.87
LINC00999,0.11,0.15,0.16,0.10,0.08
LINC01098,0.00,0.00,0.00,0.00,0.00
LINC01101,0.03,0.02,0.06,0.07,0.00
LINC01118,0.00,0.01,0.00,0.00,0.01
LINC01124,0.00,0.01,0.02,0.03,0.01
LINGO1,1.03,1.16,1.22,2.09,0.77
LINGO2,0.00,0.00,0.00,0.00,0.06
LINGO3,0.02,0.03,0.04,0.02,1.19
LINGO4,0.00,0.00,0.00,0.00,0.00
LINS,0.48,0.43,0.35,0.47,0.42
LIPA,1.14,0.86,0.64,0.83,1.87
LIPC,0.00,0.00,0.00,0.00,0.12
LIPE,0.36,0.48,0.47,0.29,0.05
LIPG,0.56,0.44,0.22,0.53,0.00
LIPH,0.05,0.05,0.23,0.10,0.00
LIPI,0.04,0.04,0.04,0.04,0.05
LIPM,0.00,0.00,0.00,0.00,0.00
LIPT1,0.65,0.59,0.57,0.65,1.03
LIPT2,1.06,0.81,0.88,0.89,0.55
LITAF,1.85,1.26,0.74,1.63,3.30
LIX1,0.00,0.00,0.00,0.00,0.00
LIX1L,1.12,1.10,1.04,1.13,1.05
LL22NC03-75H12.2,0.00,0.00,0.00,0.00,0.00
LLGL1,2.98,3.70,3.88,3.16,1.59
LLGL2,0.98,1.22,1.23,0.96,0.82
LLPH,4.24,3.84,3.59,4.28,2.12
LMAN1,5.43,3.86,3.59,5.15,5.81
LMAN1L,0.00,0.00,0.00,0.00,0.00
LMAN2,5.64,6.56,7.12,5.70,5.33
LMAN2L,1.02,0.80,0.88,1.00,0.47
LMBR1,0.40,0.33,0.32,0.38,0.29
LMBR1L,1.58,1.54,1.48,1.55,2.81
LMBRD1,0.52,0.36,0.34,0.50,0.47
LMBRD2,0.57,0.47,0.40,0.50,0.57
LMCD1,0.05,0.04,0.01,0.07,0.00
LMF1,0.07,0.12,0.13,0.07,0.13
LMF2,10.07,13.60,16.12,10.07,5.70
LMLN,0.21,0.20,0.17,0.19,0.10
LMNA,5.63,6.40,5.28,7.01,1.11
LMNB1,5.41,5.57,5.12,5.18,3.67
LMNB2,10.11,11.71,12.62,10.44,4.09
LMO1,0.00,0.00,0.05,0.00,0.01
LMO2,0.02,0.01,0.00,0.02,1.30
LMO3,0.04,0.03,0.05,0.06,0.01
LMO4,1.61,1.25,0.75,1.40,1.36
LMO7,0.64,0.55,0.22,0.60,0.32
LMOD1,0.02,0.02,0.02,0.03,0.01
LMOD2,0.00,0.00,0.00,0.00,0.00
LMOD3,0.00,0.00,0.00,0.00,0.00
LMTK2,0.57,0.63,0.51,0.59,0.20
LMTK3,0.15,0.18,0.18,0.14,0.15
LMX1A,0.00,0.00,0.00,0.00,0.00
LMX1B,0.38,0.44,0.21,0.35,0.00
LNP1,0.07,0.07,0.06,0.08,0.04
LNPEP,0.34,0.30,0.22,0.32,0.60
LNX1,0.06,0.05,0.03,0.06,0.04
LNX2,0.34,0.27,0.26,0.31,0.28
LOH12CR1,0.05,0.04,0.04,0.05,0.02
LOH12CR2,0.23,0.16,0.14,0.19,0.17
LONP1,8.68,8.41,7.57,8.96,4.96
LONP2,0.85,0.75,0.76,0.90,0.44
LONRF1,1.37,0.93,0.78,1.25,1.94
LONRF2,0.45,0.51,0.57,0.41,0.01
LONRF3,0.03,0.02,0.01,0.04,0.07
LOX,0.63,0.31,0.47,0.75,0.13
LOXHD1,0.00,0.00,0.00,0.00,0.00
LOXL1,0.04,0.04,0.05,0.16,0.22
LOXL2,0.04,0.05,0.06,0.04,0.01
LOXL3,0.79,0.81,1.00,0.82,2.79
LOXL4,0.04,0.05,0.03,0.03,0.03
LPA,0.00,0.00,0.00,0.00,0.00
LPAR1,0.00,0.00,0.00,0.00,0.00
LPAR2,1.07,1.48,1.34,0.93,3.67
LPAR3,0.29,0.20,0.15,0.30,0.00
LPAR4,0.14,0.32,0.32,0.04,0.21
LPAR5,0.00,0.00,0.00,0.00,0.12
LPAR6,0.18,0.08,0.07,0.16,17.06
LPCAT1,4.64,4.02,3.24,4.85,1.05
LPCAT2,0.12,0.08,0.05,0.10,0.55
LPCAT3,1.35,1.34,1.35,1.32,3.18
LPCAT4,10.14,11.01,5.85,4.38,5.86
LPGAT1,0.34,0.28,0.23,0.37,0.18
LPHN1,1.50,1.55,1.43,1.48,1.09
LPHN2,0.00,0.00,0.00,0.00,0.00
LPHN3,0.00,0.00,0.03,0.00,0.00
LPIN1,0.65,0.54,0.43,0.71,0.23
LPIN2,0.77,0.74,0.60,0.76,0.64
LPIN3,1.48,1.83,1.97,1.17,0.00
LPL,0.10,0.07,0.01,0.05,0.00
LPO,0.00,0.00,0.00,0.00,0.00
LPP,0.03,0.03,0.02,0.03,0.02
LPPR1,0.00,0.00,0.00,0.00,0.00
LPPR3,0.46,0.60,0.66,0.44,0.69
LPPR4,0.65,0.33,0.06,0.31,0.00
LPPR5,0.11,0.05,0.01,0.10,0.00
LPXN,0.05,0.05,0.07,0.05,0.72
LRAT,0.00,0.00,0.00,0.00,0.00
LRBA,0.14,0.11,0.10,0.14,0.12
LRCH1,0.13,0.10,0.08,0.12,0.11
LRCH2,0.38,0.29,0.32,0.40,0.00
LRCH3,0.78,0.55,0.54,0.74,0.96
LRCH4,2.18,3.31,3.39,2.05,3.92
LRFN2,0.00,0.00,0.00,0.00,0.00
LRFN3,0.91,1.10,1.12,0.94,0.48
LRFN4,6.97,11.40,10.22,7.99,5.53
LRFN5,0.02,0.03,0.01,0.00,0.00
LRG1,0.00,0.00,0.01,0.00,1.48
LRGUK,0.01,0.02,0.01,0.02,0.00
LRIF1,1.46,1.05,0.94,1.46,2.39
LRIG1,0.19,0.18,0.21,0.18,0.17
LRIG2,0.30,0.27,0.28,0.30,0.36
LRIG3,0.44,0.40,0.30,0.40,0.00
LRIT1,0.00,0.00,0.00,0.00,0.00
LRIT2,0.03,0.03,0.03,0.04,0.00
LRIT3,0.03,0.03,0.04,0.01,0.00
LRMP,0.01,0.00,0.00,0.01,1.22
LRP1,0.53,0.50,0.47,0.45,0.03
LRP10,3.83,4.05,3.71,3.86,5.14
LRP11,0.91,0.73,0.81,0.77,0.70
LRP12,0.18,0.13,0.10,0.18,0.34
LRP1B,0.01,0.00,0.00,0.00,0.00
LRP2,0.00,0.00,0.00,0.00,0.00
LRP2BP,0.14,0.16,0.13,0.16,0.10
LRP3,3.67,5.09,4.47,3.45,1.11
LRP4,0.78,0.80,0.58,0.71,0.45
LRP5,0.39,0.49,0.50,0.37,0.39
LRP5L,0.51,0.50,0.43,0.44,0.38
LRP6,0.63,0.62,1.12,0.67,0.33
LRP8,0.84,0.85,0.70,0.77,0.88
LRPAP1,3.33,3.65,3.78,3.08,2.69
LRPPRC,3.63,2.59,2.31,3.73,3.95
LRR1,3.34,2.36,2.11,3.24,1.91
LRRC1,0.22,0.19,0.12,0.24,0.02
LRRC10B,0.00,0.00,0.00,0.00,0.01
LRRC14,6.77,7.84,8.46,6.75,9.52
LRRC15,0.00,0.00,0.00,0.00,0.00
LRRC16A,0.12,0.10,0.08,0.12,0.00
LRRC16B,0.11,0.16,0.34,0.12,0.02
LRRC17,0.02,0.02,0.02,0.01,0.12
LRRC18,0.00,0.00,0.00,0.00,0.01
LRRC19,0.00,0.01,0.01,0.01,0.00
LRRC2,0.10,0.10,0.15,0.10,0.00
LRRC20,0.35,0.33,0.30,0.35,0.20
LRRC23,0.50,0.61,0.45,0.50,0.30
LRRC24,6.45,7.98,9.19,6.12,12.51
LRRC25,0.00,0.00,0.00,0.00,0.34
LRRC26,0.07,0.03,0.02,0.00,0.04
LRRC27,0.35,0.39,0.22,0.26,0.22
LRRC28,0.29,0.23,0.22,0.28,0.17
LRRC29,0.06,0.06,0.07,0.04,0.04
LRRC3,1.53,1.51,1.20,1.13,1.06
LRRC31,0.06,0.05,0.22,0.10,0.00
LRRC32,0.10,0.06,0.11,0.05,0.05
LRRC34,1.29,0.88,1.11,1.11,0.86
LRRC36,0.01,0.01,0.00,0.01,0.00
LRRC37A,0.37,0.41,0.45,0.34,0.50
LRRC37A2,0.26,0.31,0.35,0.27,0.41
LRRC37A3,0.28,0.31,0.37,0.26,0.36
LRRC37B,0.68,0.68,0.64,0.69,0.86
LRRC38,0.00,0.00,0.00,0.00,0.00
LRRC39,0.61,0.38,0.37,0.60,0.47
LRRC3B,0.00,0.00,0.00,0.00,0.00
LRRC3C,0.00,0.00,0.00,0.01,0.00
LRRC3DN,1.13,1.93,1.63,0.90,1.44
LRRC4,0.00,0.00,0.00,0.01,0.00
LRRC40,1.82,1.47,1.63,1.96,0.95
LRRC41,4.13,4.55,4.49,4.36,3.11
LRRC42,2.50,1.73,1.69,2.47,0.96
LRRC43,0.01,0.00,0.00,0.01,0.04
LRRC45,6.58,8.76,8.10,5.85,1.85
LRRC46,0.27,0.39,0.27,0.16,0.07
LRRC47,3.98,4.09,3.99,3.68,2.33
LRRC48,0.13,0.16,0.12,0.15,0.15
LRRC49,0.07,0.05,0.05,0.12,0.00
LRRC4B,0.00,0.00,0.01,0.00,0.01
LRRC4C,0.00,0.00,0.00,0.00,0.00
LRRC52,0.00,0.00,0.00,0.00,0.00
LRRC56,0.06,0.09,0.10,0.05,0.06
LRRC57,2.52,2.02,1.70,2.46,2.49
LRRC58,5.24,3.55,2.21,5.01,3.64
LRRC59,25.41,19.55,18.31,23.72,10.50
LRRC6,0.01,0.01,0.01,0.00,0.02
LRRC61,0.00,0.00,0.00,0.00,0.47
LRRC66,0.03,0.03,0.04,0.02,0.01
LRRC69,0.05,0.04,0.05,0.04,0.12
LRRC7,0.00,0.00,0.02,0.00,0.00
LRRC70,0.06,0.02,0.03,0.03,0.27
LRRC71,0.03,0.05,0.04,0.04,0.00
LRRC72,0.00,0.00,0.00,0.00,0.00
LRRC73,0.13,0.09,0.10,0.06,0.00
LRRC8A,1.52,1.91,1.50,1.60,0.73
LRRC8B,1.47,1.20,1.08,1.42,0.43
LRRC8C,0.45,0.35,0.29,0.45,0.42
LRRC8D,0.80,0.58,0.47,0.82,0.96
LRRC8E,1.12,0.92,0.94,1.07,0.41
LRRC9,0.00,0.00,0.00,0.00,0.00
LRRCC1,1.62,1.30,0.87,1.22,1.91
LRRD1,0.00,0.00,0.00,0.00,0.00
LRRFIP1,1.79,1.64,1.21,1.70,1.11
LRRFIP2,0.48,0.40,0.39,0.42,0.29
LRRIQ1,0.01,0.01,0.01,0.01,0.00
LRRIQ3,0.03,0.02,0.02,0.03,0.01
LRRK1,0.23,0.24,0.24,0.21,0.28
LRRK2,0.02,0.01,0.01,0.02,0.01
LRRN1,2.67,2.43,1.32,2.34,0.01
LRRN2,0.12,0.06,0.06,0.05,0.01
LRRN3,0.14,0.19,0.73,0.10,0.01
LRRN4,0.01,0.01,0.02,0.00,0.00
LRRN4CL,0.12,0.11,0.15,0.23,0.00
LRRTM1,0.01,0.00,0.03,0.00,0.00
LRRTM2,0.00,0.01,0.01,0.01,0.02
LRRTM3,0.16,0.13,0.15,0.13,0.00
LRRTM4,0.01,0.01,0.00,0.01,0.00
LRSAM1,0.56,0.64,0.65,0.54,0.40
LRTM1,0.00,0.00,0.00,0.01,0.00
LRTM2,0.00,0.00,0.01,0.00,0.01
LRTOMT,0.81,0.96,0.74,0.75,0.58
LRWD1,3.99,4.14,4.75,3.78,1.53
LSAMP,0.00,0.00,0.00,0.00,0.09
LSG1,4.08,3.73,3.60,3.83,2.05
LSM1,3.93,3.17,2.90,3.59,3.94
LSM10,7.90,5.89,6.14,7.89,4.56
LSM11,1.91,1.37,1.05,1.88,1.48
LSM12,1.76,1.78,1.72,1.88,0.87
LSM14A,3.49,2.97,3.11,3.34,2.69
LSM14B,4.79,5.01,5.27,4.64,3.39
LSM2,6.43,6.35,6.17,6.73,5.90
LSM3,3.97,2.84,3.07,3.88,2.53
LSM4,11.03,11.96,13.33,11.07,5.80
LSM5,12.24,6.53,6.72,11.76,10.72
LSM6,2.09,2.07,2.02,1.82,1.90
LSM7,6.57,8.58,9.69,6.99,6.65
LSMD1,27.51,32.95,31.68,27.43,18.29
LSMEM1,0.08,0.10,0.08,0.07,0.06
LSMEM2,1.68,1.25,1.37,1.73,1.23
LSP1,0.00,0.00,0.00,0.00,0.39
LSR,4.65,5.56,6.12,4.32,0.07
LSS,4.50,4.92,3.46,5.00,1.75
LST1,0.03,0.09,0.07,0.07,3.96
LST3,0.00,0.00,0.00,0.00,0.00
LTA,0.02,0.03,0.04,0.06,0.03
LTA4H,4.36,3.48,2.94,4.09,6.49
LTB,0.10,0.11,0.08,0.17,3.03
LTB4R,2.05,3.40,4.25,1.88,2.96
LTB4R2,1.80,2.71,3.24,1.77,1.40
LTBP1,0.03,0.02,0.02,0.03,0.01
LTBP2,0.01,0.01,0.01,0.02,0.01
LTBP3,2.39,3.61,3.67,2.42,2.07
LTBP4,0.87,1.38,1.54,0.77,0.93
LTBR,0.67,0.47,0.00,1.86,7.42
LTC4S,0.11,0.24,0.25,0.11,0.21
LTF,0.00,0.00,0.00,0.00,0.01
LTK,1.56,2.08,0.61,1.65,0.06
LTN1,0.97,0.75,0.73,0.94,0.83
LTV1,4.71,4.53,4.47,4.87,2.55
LUC7L,1.99,1.94,1.99,1.88,1.06
LUC7L2,2.44,2.49,2.26,2.46,1.81
LUC7L3,6.25,6.55,6.70,6.32,11.87
LURAP1,0.19,0.15,0.16,0.19,0.23
LURAP1L,0.01,0.01,0.00,0.01,0.01
LUZP1,0.75,0.61,0.58,0.70,0.78
LUZP2,0.03,0.03,0.02,0.03,0.00
LUZP4,0.00,0.00,0.00,0.00,0.00
LUZPP1,0.05,0.06,0.11,0.03,0.00
LXN,1.21,0.99,1.00,1.18,2.16
LY6E,16.28,15.86,19.00,15.62,54.25
LY6G5B,7.45,10.76,12.09,7.10,7.42
LY6G5C,0.67,0.71,0.63,0.53,0.33
LY6G6C,0.01,0.03,0.07,0.01,0.06
LY6G6E,0.00,0.01,0.00,0.00,0.00
LY6G6F,0.02,0.00,0.00,0.01,0.00
LY6H,0.01,0.00,0.00,0.00,0.00
LY6K,0.00,0.01,0.00,0.00,0.01
LY75,0.00,0.00,0.00,0.00,0.04
LY86,0.00,0.00,0.00,0.00,0.27
LY9,0.00,0.00,0.00,0.00,0.01
LY96,0.15,0.08,0.01,0.10,0.05
LYAR,4.99,4.33,4.25,5.04,2.39
LYG1,0.08,0.09,0.10,0.07,0.03
LYG2,0.06,0.09,0.08,0.05,0.03
LYL1,0.11,0.05,0.04,0.27,19.56
LYN,0.50,0.35,0.30,0.50,1.48
LYNX1,0.00,0.00,0.00,0.00,0.00
LYPD1,0.00,0.00,0.00,0.00,0.00
LYPD2,0.00,0.00,0.00,0.00,0.00
LYPD3,0.16,0.09,0.16,0.08,0.06
LYPD4,0.00,0.00,0.00,0.00,0.00
LYPD5,0.00,0.00,0.00,0.00,0.00
LYPD6,0.09,0.07,0.09,0.08,0.00
LYPD6B,0.01,0.01,0.00,0.01,0.00
LYPLA1,2.74,2.00,1.85,2.74,3.94
LYPLA2,22.73,31.37,31.05,24.35,18.95
LYPLAL1,0.72,0.65,0.52,0.57,0.49
LYRM1,0.60,0.51,0.58,0.49,1.28
LYRM2,2.56,2.16,2.00,2.59,1.54
LYRM4,0.31,0.26,0.25,0.29,0.20
LYRM5,1.67,1.31,1.13,1.42,1.24
LYRM7,1.00,0.78,0.79,0.99,1.22
LYRM9,0.09,0.11,0.12,0.07,0.16
LYSMD1,1.50,1.32,1.25,1.44,0.62
LYSMD2,0.56,0.36,0.34,0.55,0.96
LYSMD3,3.41,1.89,1.69,3.22,2.75
LYSMD4,2.42,2.37,2.07,2.01,1.90
LYST,0.11,0.07,0.05,0.11,0.08
LYVE1,0.00,0.00,0.00,0.00,0.00
LYZ,0.01,0.00,0.01,0.01,0.77
LYZL1,0.00,0.00,0.00,0.00,0.00
LYZL2,0.00,0.00,0.00,0.00,0.00
LYZL4,0.00,0.00,0.00,0.00,0.00
LYZL6,0.00,0.00,0.00,0.00,0.00
LZIC,1.66,1.30,1.38,1.51,1.28
LZTFL1,1.35,0.97,0.78,1.12,1.23
LZTR1,3.33,4.35,4.52,3.34,2.45
LZTS1,0.52,0.46,0.21,0.46,4.18
LZTS2,8.02,9.39,10.14,7.87,6.51
LZTS3,1.18,1.50,1.48,1.19,1.47
M1AP,0.00,0.00,0.00,0.00,0.06
M6PR,15.99,15.13,12.55,16.35,17.29
MAATS1,0.00,0.00,0.00,0.00,0.00
MAB21L1,3.30,4.01,1.01,2.99,3.26
MAB21L2,0.01,0.01,0.00,0.00,0.00
MAB21L3,0.00,0.01,0.00,0.00,0.00
MACC1,0.00,0.00,0.00,0.00,0.08
MACF1,0.26,0.26,0.50,0.22,1.28
MACROD1,0.08,0.15,0.14,0.08,0.16
MACROD2,0.00,0.00,0.00,0.00,0.00
MAD1L1,0.05,0.08,0.08,0.06,0.05
MAD2L1,12.66,8.95,9.27,12.46,8.17
MAD2L1BP,8.96,6.99,6.21,9.25,4.65
MAD2L2,5.17,4.99,5.52,4.79,1.60
MADCAM1,0.01,0.04,0.03,0.01,0.01
MADD,1.30,1.42,1.40,1.31,1.77
MAEA,1.59,1.81,1.91,1.60,0.67
MAEL,0.00,0.00,0.00,0.00,0.00
MAF,6.44,6.12,1.72,6.34,0.01
MAF1,26.18,30.50,27.68,24.94,33.56
MAFB,0.02,0.03,0.06,0.02,0.00
MAFF,0.20,0.21,0.16,0.14,0.54
MAFG,5.91,5.10,5.08,5.52,5.12
MAFK,1.39,1.73,1.65,1.30,2.00
MAG,0.00,0.00,0.00,0.00,0.00
MAGEA1,0.00,0.00,0.00,0.00,0.00
MAGEA11,0.00,0.00,0.00,0.00,0.00
MAGEA12,0.01,0.00,0.00,0.00,0.00
MAGEA2,0.00,0.00,0.00,0.01,0.00
MAGEA2B,0.00,0.00,0.00,0.01,0.00
MAGEA3,0.00,0.00,0.00,0.02,0.00
MAGEA6,0.00,0.00,0.00,0.02,0.00
MAGEA8,0.01,0.02,0.04,0.03,0.00
MAGEA9,0.00,0.00,0.00,0.00,0.00
MAGEA9B,0.00,0.00,0.00,0.00,0.00
MAGEB16,0.00,0.01,0.00,0.00,0.00
MAGEB17,0.00,0.01,0.00,0.00,0.00
MAGEB18,0.00,0.00,0.00,0.00,0.01
MAGEB2,0.00,0.00,0.00,0.00,0.00
MAGEB6,0.04,0.02,0.03,0.01,0.00
MAGEC1,0.00,0.00,0.01,0.00,0.00
MAGEC2,0.00,0.00,0.00,0.00,0.00
MAGEC3,0.00,0.02,0.01,0.02,0.00
MAGED1,56.41,52.80,73.50,51.52,14.76
MAGED2,19.74,19.72,21.31,20.27,12.15
MAGED4,8.52,11.15,10.58,7.90,2.12
MAGED4B,8.29,9.55,9.00,7.44,2.10
MAGEE1,5.28,5.37,4.91,5.07,2.56
MAGEE2,0.00,0.00,0.00,0.02,0.00
MAGEF1,26.68,26.35,29.96,27.68,8.95
MAGEH1,4.39,5.47,15.01,3.84,12.62
MAGI1,0.02,0.02,0.02,0.02,0.02
MAGI2,0.01,0.01,0.00,0.01,0.00
MAGI3,0.17,0.14,0.13,0.17,0.15
MAGIX,0.24,0.23,0.34,0.23,0.13
MAGOH,5.40,4.66,5.20,5.34,3.19
MAGOHB,5.38,3.95,4.13,5.08,2.35
MAGT1,2.59,1.66,1.66,2.46,2.53
MAK,0.07,0.06,0.08,0.06,0.06
MAK16,5.66,5.01,5.44,5.64,7.40
MAL,0.00,0.00,0.00,0.00,0.00
MAL2,0.01,0.00,0.00,0.01,0.00
MALL,0.00,0.00,0.00,0.00,0.00
MALRD1,0.01,0.01,0.00,0.01,0.01
MALSU1,6.04,4.44,4.13,5.82,3.15
MALT1,0.37,0.25,0.21,0.32,0.26
MAMDC2,0.04,0.03,0.04,0.04,0.05
MAMDC4,1.34,2.02,3.14,1.16,1.36
MAML1,2.65,2.69,2.54,2.58,1.49
MAML2,0.01,0.01,0.03,0.01,0.02
MAML3,0.02,0.02,0.02,0.02,0.07
MAMLD1,0.23,0.22,0.18,0.14,0.20
MAMSTR,0.06,0.08,0.13,0.07,0.09
MAN1A1,0.04,0.03,0.03,0.02,0.07
MAN1A2,0.28,0.22,0.19,0.27,0.37
MAN1B1,2.17,2.65,2.95,2.06,2.70
MAN1C1,0.07,0.06,0.05,0.05,0.01
MAN2A1,0.27,0.20,0.15,0.22,0.18
MAN2A2,4.76,5.66,5.45,4.70,6.20
MAN2B1,2.61,2.94,2.94,2.52,4.49
MAN2B2,0.17,0.25,0.25,0.14,0.21
MAN2C1,3.04,4.29,4.71,5.98,13.58
MANBA,0.22,0.17,0.15,0.20,0.48
MANBAL,2.42,2.66,2.40,2.31,0.54
MANEA,0.93,0.60,0.56,0.85,0.80
MANEAL,1.54,1.25,1.39,1.74,1.09
MANF,27.98,24.72,24.42,27.36,10.29
MANSC1,0.88,0.78,0.63,0.99,0.20
MAOA,0.25,0.14,0.10,0.23,0.47
MAOB,0.00,0.00,0.00,0.00,0.00
MAP1A,3.36,2.14,2.68,4.06,3.03
